,ticker,cc_return,bh_return,vs_bh,final_value,premium_total,weeks,exercised,exercise_pct,max_drawdown
295,EXPD,24.56,36.64,-12.08,12456.15,3164.75,261,10,3.8,36.81
296,ISRG,24.38,58.5,-34.11,12438.46,6776.44,261,27,10.3,48.42
297,NSC,23.76,28.41,-4.65,12376.1,2179.81,261,16,6.1,37.02
298,CARR,23.16,57.61,-34.46,12315.79,5966.33,261,26,10.0,40.96
299,FDX,23.09,31.89,-8.8,12308.87,4608.59,261,21,8.0,50.82
300,HSY,22.6,25.29,-2.69,12260.37,2073.59,261,12,4.6,42.62
301,VICI,22.49,19.05,3.44,12248.58,1375.38,261,8,3.1,18.6
302,ESS,22.44,12.86,9.58,12243.96,2031.03,261,7,2.7,40.5
303,F,22.38,40.73,-18.36,12237.8,10874.46,261,42,16.1,54.48
304,HAS,22.38,19.84,2.54,12238.47,4831.91,261,21,8.0,52.21
305,PG,22.17,17.19,4.99,12217.29,702.92,261,2,0.8,23.0
306,MSCI,21.41,35.02,-13.61,12141.03,5421.17,261,21,8.0,46.81
307,O,21.03,22.77,-1.74,12103.43,700.96,261,5,1.9,33.63
308,WST,20.91,-7.34,28.24,12090.75,9749.91,261,20,7.7,56.16
309,BEN,20.58,23.13,-2.55,12057.61,4889.59,261,23,8.8,48.27
310,IVZ,19.77,27.0,-7.23,11977.19,6389.3,261,34,13.0,53.7
311,SW,19.59,-15.82,35.41,11959.02,18232.77,261,39,14.9,43.1
312,CVS,19.56,27.19,-7.63,11956.01,3897.99,261,21,8.0,53.26
313,EQR,19.2,6.56,12.64,11920.04,1691.7,261,5,1.9,37.67
314,USB,18.86,11.35,7.51,11886.2,3655.79,261,17,6.5,43.81
315,UAL,18.51,68.0,-49.49,11851.05,13274.76,261,47,18.0,56.75
316,ITW,17.38,20.85,-3.48,11737.78,1318.24,261,9,3.4,26.56
317,SCHW,17.31,39.57,-22.26,11730.8,5438.8,261,29,11.1,47.93
318,MCHP,16.95,35.8,-18.86,11694.51,11608.08,261,38,14.6,55.06
319,NWS,16.73,22.87,-6.15,11672.59,3237.86,261,20,7.7,39.61
320,LOW,16.34,23.94,-7.59,11634.32,3241.64,261,19,7.3,31.82
321,EXR,15.46,15.91,-0.44,11546.48,4233.66,261,20,7.7,48.11
322,HON,15.4,15.1,0.29,11539.84,1323.9,261,10,3.8,27.42
323,PTC,14.99,10.22,4.77,11499.27,5075.76,261,14,5.4,35.86
324,D,14.94,9.13,5.81,11494.34,1380.74,261,11,4.2,49.16
325,ECL,14.91,22.84,-7.93,11490.98,1980.26,261,11,4.2,42.32
326,ELV,14.9,8.13,6.78,11490.44,4520.52,261,17,6.5,44.48
327,AVB,14.73,9.94,4.79,11473.46,1611.53,261,7,2.7,36.98
328,MDLZ,14.63,11.14,3.49,11462.68,897.66,261,5,1.9,27.49
329,PEP,14.58,18.23,-3.66,11457.78,809.56,261,6,2.3,29.69
330,CPAY,13.93,27.0,-13.07,11392.58,5374.87,261,32,12.3,37.1
331,TFC,13.77,-0.84,14.61,11377.13,4539.37,261,22,8.4,51.57
332,VZ,13.24,12.3,0.93,11323.73,1345.8,261,6,2.3,36.77
333,INCY,13.21,13.99,-0.77,11321.24,3788.18,261,19,7.3,40.19
334,ERIE,13.12,22.2,-9.07,11312.35,6013.75,261,15,5.7,56.39
